comment_id,post_id,title,price,whatsapp_link,date
1550054067131091_4356615621217288,105834518183309_1550054067131091,Ba-46-00-00-465,2499.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ba-46-00-00-465%0APrice%3A%20Rs%202499.0%0ASource%3A%20facebook_comment,2026-05-10 13:12:35.117527
1550136320456199_2079493212910334,105834518183309_1550136320456199,Ho-72-00-00-729,1799.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-72-00-00-729%0APrice%3A%20Rs%201799.0%0ASource%3A%20facebook_comment,2026-05-10 13:12:49.332267
1550143470455484_1271381845167689,105834518183309_1550143470455484,Pe-55-00-12-55,1199.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-55-00-12-55%0APrice%3A%20Rs%201199.0%0ASource%3A%20facebook_comment,2026-05-10 13:12:54.596318
1550156170454214_911705055214670,105834518183309_1550156170454214,Ho-61-00-00-61,899.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-61-00-00-61%0APrice%3A%20Rs%20899.0%0ASource%3A%20facebook_comment,2026-05-10 13:13:00.200051
1550178680451963_2209412476555394,105834518183309_1550178680451963,Pe-59-00-00-599,499.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-59-00-00-599%0APrice%3A%20Rs%20499.0%0ASource%3A%20facebook_comment,2026-05-10 13:13:07.070241
1550178680451963_1014170517806192,105834518183309_1550178680451963,Pe-59-00-00-599,499.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-59-00-00-599%0APrice%3A%20Rs%20499.0%0ASource%3A%20facebook_comment,2026-05-10 13:13:11.519923
1549390790530752_1299657642256588,105834518183309_1549390790530752,Ho-65-00-00-658,699.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-65-00-00-658%0APrice%3A%20Rs%20699.0%0ASource%3A%20facebook_comment,2026-05-10 13:42:02.700904
1549431853859979_2451826968572892,105834518183309_1549431853859979,Sm-27-00-00-271,2499.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Sm-27-00-00-271%0APrice%3A%20Rs%202499.0%0ASource%3A%20facebook_comment,2026-05-10 13:42:06.855104
1549472983855866_27830775196522877,105834518183309_1549472983855866,Ho-53-00-00-536,7799.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-53-00-00-536%0APrice%3A%20Rs%207799.0%0ASource%3A%20facebook_comment,2026-05-10 13:42:12.174897
1549489377187560_1666067914668278,105834518183309_1549489377187560,Pe-60-00-00-609,699.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-60-00-00-609%0APrice%3A%20Rs%20699.0%0ASource%3A%20facebook_comment,2026-05-10 13:42:42.650401
1549500470519784_973569771926275,105834518183309_1549500470519784,Pe-74-00-00-74,1599.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-74-00-00-74%0APrice%3A%20Rs%201599.0%0ASource%3A%20facebook_comment,2026-05-10 13:42:46.716499
1549523633850801_1754623992363156,105834518183309_1549523633850801,Pe-51-00-00-511,799.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-51-00-00-511%0APrice%3A%20Rs%20799.0%0ASource%3A%20facebook_comment,2026-05-10 13:42:51.968769
1549591183844046_996420489638444,105834518183309_1549591183844046,Pe-28-00-00-288,1499.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-28-00-00-288%0APrice%3A%20Rs%201499.0%0ASource%3A%20facebook_comment,2026-05-10 13:42:57.403990
